Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
フォーム送信を処理してください。,Handle form submit.,送信,フォーム送信【そうしん】を処理【しょり】してください。,フォーム送信【そうしん】を処理【しょり】してください。,Frontend - Form,polite,send,"<ruby class=""vocab"">送信<rt><span class=""pitch-l"">そ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">し</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 送信 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>送信する</td></tr><tr><td>Polite ます形</td><td>送信します</td></tr><tr><td>Polite Negative ません形</td><td>送信しません</td></tr><tr><td>Te-form て形</td><td>送信して</td></tr><tr><td>Polite Past ました形</td><td>送信しました</td></tr><tr><td>Progressive ている形</td><td>送信しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>送信できる</td></tr><tr><td>Passive 受身形</td><td>送信される</td></tr><tr><td>Conditional たら形</td><td>送信したら</td></tr><tr><td>Volitional 意向形</td><td>送信しよう</td></tr><tr><td>Should べき形</td><td>送信すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>送信なさる</td></tr><tr><td>Humble 謙譲語</td><td>送信いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
確認モーダルを表示してください。,Show a confirmation modal.,モーダル,確認【かくにん】モーダルを表示【ひょうじ】してください。,確認【かくにん】モーダルを表示【ひょうじ】してください。,Frontend - Ui,polite,modal,"<ruby class=""vocab"">モーダル<rt><span class=""pitch-h"">も</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">だ</span><span class=""pitch-l"">る</span></rt></ruby>",
成功トーストを表示してください。,Show a success toast.,トースト,成功【せいこう】トーストを表示【ひょうじ】してください。,成功【せいこう】トーストを表示【ひょうじ】してください。,Frontend - Ui,polite,toast,"<ruby class=""vocab"">トースト<rt><span class=""pitch-h"">と</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">す</span><span class=""pitch-l"">と</span></rt></ruby>",
通知を表示してください。,Display a notification.,通知,通知【つうち】を表示【ひょうじ】してください。,通知【つうち】を表示【ひょうじ】してください。,Frontend - Ui,polite,notification,"<ruby class=""vocab"">通知<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ち</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 通知 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>通知する</td></tr><tr><td>Polite ます形</td><td>通知します</td></tr><tr><td>Polite Negative ません形</td><td>通知しません</td></tr><tr><td>Te-form て形</td><td>通知して</td></tr><tr><td>Polite Past ました形</td><td>通知しました</td></tr><tr><td>Progressive ている形</td><td>通知しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>通知できる</td></tr><tr><td>Passive 受身形</td><td>通知される</td></tr><tr><td>Conditional たら形</td><td>通知したら</td></tr><tr><td>Volitional 意向形</td><td>通知しよう</td></tr><tr><td>Should べき形</td><td>通知すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>通知なさる</td></tr><tr><td>Humble 謙譲語</td><td>通知いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
開発サーバーを起動してください。,Start the development server.,開発サーバー,開発【かいはつ】サーバーを起動【きどう】してください。,開発【かいはつ】サーバーを起動【きどう】してください。,Infrastructure - Development,polite,server,"<ruby class=""vocab"">開発サーバー<rt>かいはつサーバー</rt></ruby>",
REST APIを設計してください。,Design the REST API.,REST API,REST APIを設計【せっけい】してください。,REST APIを設計【せっけい】してください。,Api - Rest,polite,API,"<span class=""vocab"">REST API</span>",
新しいエンドポイントを作成してください。,Create a new endpoint.,エンドポイント,新【あたら】しいエンドポイントを作成【さくせい】してください。,新【あたら】しいエンドポイントを作成【さくせい】してください。,Api - Endpoint,polite,endpoint,"<span class=""vocab"">エンドポイント</span>",
APIルートを定義してください。,Define the API routes.,ルート,APIルートを定義【ていぎ】してください。,APIルートを定義【ていぎ】してください。,Backend - Routing,polite,root,"<ruby class=""vocab"">ルート<rt><span class=""pitch-h"">る</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">と</span></rt></ruby>",
Expressルーターを使ってください。,Use Express router.,ルーター,Expressルーターを使【つか】ってください。,Expressルーターを使【つか】ってください。,Backend - Routing,polite,router,"<ruby class=""vocab"">ルーター<rt><span class=""pitch-l"">る</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">た</span><span class=""pitch-h"">ー</span></rt></ruby>",
ロジックをコントローラーに移動してください。,Move logic to the controller.,コントローラー,ロジックをコントローラーに移動【いどう】してください。,ロジックをコントローラーに移動【いどう】してください。,Architecture - Layer,polite,controller,"<ruby class=""vocab"">コントローラー<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ら</span><span class=""pitch-l"">ー</span></rt></ruby>",
ユーザーサービスを作成してください。,Create a user service.,サービス,ユーザーサービスを作成【さくせい】してください。,ユーザーサービスを作成【さくせい】してください。,Architecture - Service,polite,service,"<ruby class=""vocab"">サービス<rt><span class=""pitch-h"">さ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">び</span><span class=""pitch-l"">す</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for サービス (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>サービスする</td></tr><tr><td>Polite ます形</td><td>サービスします</td></tr><tr><td>Polite Negative ません形</td><td>サービスしません</td></tr><tr><td>Te-form て形</td><td>サービスして</td></tr><tr><td>Polite Past ました形</td><td>サービスしました</td></tr><tr><td>Progressive ている形</td><td>サービスしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>サービスできる</td></tr><tr><td>Passive 受身形</td><td>サービスされる</td></tr><tr><td>Conditional たら形</td><td>サービスしたら</td></tr><tr><td>Volitional 意向形</td><td>サービスしよう</td></tr><tr><td>Should べき形</td><td>サービスすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>サービスなさる</td></tr><tr><td>Humble 謙譲語</td><td>サービスいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
データアクセスはリポジトリで行います。,Data access in repository.,リポジトリ,データアクセスはリポジトリで行【おこな】います。,データアクセスはリポジトリで行【おこな】います。,Backend - Repository,polite,repository,"<ruby class=""vocab"">リポジトリ<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">ぽ</span><span class=""pitch-l"">じ</span><span class=""pitch-l"">と</span><span class=""pitch-l"">り</span></rt></ruby>",
Userモデルを定義してください。,Define the User model.,モデル,Userモデルを定義【ていぎ】してください。,Userモデルを定義【ていぎ】してください。,Backend - Model,polite,model,"<ruby class=""vocab"">モデル<rt><span class=""pitch-l"">も</span><span class=""pitch-h"">で</span><span class=""pitch-h"">る</span></rt></ruby>",
データベースエンティティにマップしてください。,Map to database entity.,エンティティ,データベースエンティティにマップしてください。,データベースエンティティにマップしてください。,Backend - Entity,polite,entity,"<ruby class=""vocab"">エンティティ<rt><span class=""pitch-h"">え</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">てぃ</span><span class=""pitch-l"">てぃ</span></rt></ruby>",
リクエストにはDTOを使ってください。,Use DTOs for requests.,DTO,リクエストにはDTOを使【つか】ってください。,リクエストにはDTOを使【つか】ってください。,Backend - Dto,polite,DTO (data transfer),"<span class=""vocab"">DTO</span>",
認証ミドルウェアを追加してください。,Add auth middleware.,ミドルウェア,認証【にんしょう】ミドルウェアを追加【ついか】してください。,認証【にんしょう】ミドルウェアを追加【ついか】してください。,Architecture - Middleware,polite,middleware,"<ruby class=""vocab"">ミドルウェア<rt><span class=""pitch-l"">み</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">る</span><span class=""pitch-h"">うぇ</span><span class=""pitch-l"">あ</span></rt></ruby>",
インターセプターでリクエストをログしてください。,Log requests with interceptor.,インターセプター,インターセプターでリクエストをログしてください。,インターセプターでリクエストをログしてください。,Backend - Interceptor,polite,interceptor,"<span class=""vocab"">インターセプター</span>",
認証にはガードを使ってください。,Use guards for auth.,ガード,認証【にんしょう】にはガードを使【つか】ってください。,認証【にんしょう】にはガードを使【つか】ってください。,Backend - Guard,polite,guard,"<ruby class=""vocab"">ガード<rt><span class=""pitch-h"">が</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ど</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for ガード (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>ガードする</td></tr><tr><td>Polite ます形</td><td>ガードします</td></tr><tr><td>Polite Negative ません形</td><td>ガードしません</td></tr><tr><td>Te-form て形</td><td>ガードして</td></tr><tr><td>Polite Past ました形</td><td>ガードしました</td></tr><tr><td>Progressive ている形</td><td>ガードしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>ガードできる</td></tr><tr><td>Passive 受身形</td><td>ガードされる</td></tr><tr><td>Conditional たら形</td><td>ガードしたら</td></tr><tr><td>Volitional 意向形</td><td>ガードしよう</td></tr><tr><td>Should べき形</td><td>ガードすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>ガードなさる</td></tr><tr><td>Humble 謙譲語</td><td>ガードいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
ルートにはデコレーターを使ってください。,Use decorators for routes.,デコレーター,ルートにはデコレーターを使【つか】ってください。,ルートにはデコレーターを使【つか】ってください。,Backend - Decorator,polite,decorator,"<ruby class=""vocab"">デコレーター<rt><span class=""pitch-l"">で</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">た</span><span class=""pitch-l"">ー</span></rt></ruby>",
サーバー側の検証を行ってください。,Server-side validation.,サーバー側,サーバー側【がわ】の検証【けんしょう】を行【おこな】ってください。,サーバー側【が、わ】の検証【けんしょう】を行【おこな】ってください。,Backend - Server,polite,server,"<ruby class=""vocab"">サーバー側<rt>がわ</rt></ruby>",
JSONシリアライゼーションを処理してください。,Handle JSON serialization.,シリアライゼーション,JSONシリアライゼーションを処理【しょり】してください。,JSONシリアライゼーションを処理【しょり】してください。,Backend - Serialization,polite,serialization,"<span class=""vocab"">シリアライゼーション</span>",
リクエストボディをデシリアライズしてください。,Deserialize the request body.,デシリアライズ,リクエストボディをデシリアライズしてください。,リクエストボディをデシリアライズしてください。,Backend - Serialization,polite,deserialize,"<span class=""vocab"">デシリアライズ</span>",
ORMとしてPrismaを使ってください。,Use Prisma as ORM.,Prisma,ORMとしてPrismaを使【つか】ってください。,ORMとしてPrismaを使【つか】ってください。,Database - Orm,polite,Prisma,"<span class=""vocab"">Prisma</span>",
クエリビルダーを使ってください。,Use the query builder.,クエリビルダー,クエリビルダーを使【つか】ってください。,クエリビルダーを使【つか】ってください。,Database - Query Builder,polite,query,"<span class=""vocab"">クエリビルダー</span>",
生のSQLクエリを書いてください。,Write a raw SQL query.,生のSQL,生【なま】のSQLクエリを書【か】いてください。,生【なま】のSQLクエリを書【か】いてください。,Database - Sql,polite,SQL,"<ruby class=""vocab"">生のSQL<rt>なまのSQL</rt></ruby>",
データベース接続をプールしてください。,Pool database connections.,プール,データベース接続【せつぞく】をプールしてください。,データベース接続【せつぞく】をプールしてください。,Database - Connection Pool,polite,pool,"<ruby class=""vocab"">プール<rt><span class=""pitch-h"">ぷ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">る</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for プール (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>プールする</td></tr><tr><td>Polite ます形</td><td>プールします</td></tr><tr><td>Polite Negative ません形</td><td>プールしません</td></tr><tr><td>Te-form て形</td><td>プールして</td></tr><tr><td>Polite Past ました形</td><td>プールしました</td></tr><tr><td>Progressive ている形</td><td>プールしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>プールできる</td></tr><tr><td>Passive 受身形</td><td>プールされる</td></tr><tr><td>Conditional たら形</td><td>プールしたら</td></tr><tr><td>Volitional 意向形</td><td>プールしよう</td></tr><tr><td>Should べき形</td><td>プールすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>プールなさる</td></tr><tr><td>Humble 謙譲語</td><td>プールいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
コネクションプールを設定してください。,Configure connection pool.,コネクションプール,コネクションプールを設定【せってい】してください。,コネクションプールを設定【せってい】してください。,Database - Connection Pool,polite,connection pool,"<span class=""vocab"">コネクションプール</span>",
これにはトランザクションを使ってください。,Use a transaction for this.,トランザクション,これにはトランザクションを使【つか】ってください。,これにはトランザクションを使【つか】ってください。,Database - Transaction,polite,transaction,"<ruby class=""vocab"">トランザクション<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ざ</span><span class=""pitch-l"">く</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">ん</span></rt></ruby>",
悲観的ロックを使ってください。,Use pessimistic locking.,悲観的ロック,悲観的【ひかんてき】ロックを使【つか】ってください。,悲観的【ひかんてき】ロックを使【つか】ってください。,Database - Lock,polite,lock,"<ruby class=""vocab"">悲観的ロック<rt>ひかんてきロック</rt></ruby>",
ジョブをキューに追加してください。,Add job to the queue.,キュー,ジョブをキューに追加【ついか】してください。,ジョブをキューに追加【ついか】してください。,Backend - Queue,polite,queue,"<ruby class=""vocab"">キュー<rt><span class=""pitch-h"">きゅ</span><span class=""pitch-l"">ー</span></rt></ruby>",
バックグラウンドワーカーで処理してください。,Process with background worker.,ワーカー,バックグラウンドワーカーで処理【しょり】してください。,バックグラウンドワーカーで処理【しょり】してください。,Backend - Worker,polite,worker,"<ruby class=""vocab"">ワーカー<rt><span class=""pitch-h"">わ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">か</span><span class=""pitch-l"">ー</span></rt></ruby>",
非同期ジョブを作成してください。,Create an async job.,ジョブ,非同期【ひどうき】ジョブを作成【さくせい】してください。,非同期【ひどうき】ジョブを作成【さくせい】してください。,Backend - Job,polite,job,"<ruby class=""vocab"">ジョブ<rt><span class=""pitch-h"">じょ</span><span class=""pitch-l"">ぶ</span></rt></ruby>",
cronスケジューラで実行してください。,Run with cron scheduler.,スケジューラ,cronスケジューラで実行【じっこう】してください。,cronスケジューラで実行【じっこう】してください。,Backend - Scheduler,polite,scheduler,"<span class=""vocab"">スケジューラ</span>",
cronジョブを設定してください。,Set up a cron job.,cron,cronジョブを設定【せってい】してください。,cronジョブを設定【せってい】してください。,Backend - Cron,polite,cron,"<span class=""vocab"">cron</span>",
バッチで処理してください。,Process in batches.,バッチ,バッチで処理【しょり】してください。,バッチで処理【しょり】してください。,Backend - Batch,polite,batch,"<ruby class=""vocab"">バッチ<rt><span class=""pitch-h"">ば</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">ち</span></rt></ruby>",
ページネーションを実装してください。,Implement pagination.,ページネーション,ページネーションを実装【じっそう】してください。,ページネーションを実装【じっそう】してください。,Backend - Pagination,polite,pagination,"<span class=""vocab"">ページネーション</span>",
カーソルページネーションを使ってください。,Use cursor pagination.,カーソル,カーソルページネーションを使【つか】ってください。,カーソルページネーションを使【つか】ってください。,Backend - Pagination,polite,cursor,"<ruby class=""vocab"">カーソル<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">そ</span><span class=""pitch-l"">る</span></rt></ruby>",
オフセットページネーションはシンプルです。,Offset pagination is simpler.,オフセット,オフセットページネーションはシンプルです。,オフセットページネーションはシンプルです。,Backend - Pagination,polite,offset,"<ruby class=""vocab"">オフセット<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">ふ</span><span class=""pitch-h"">せ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>",
結果を100件に制限してください。,Limit results to 100.,制限,結果【けっか】を100件【けん】に制限【せいげん】してください。,結果【けっか】を100件【けん】に制限【せいげん】してください。,Backend - Pagination,polite,limit/restriction,"<ruby class=""vocab"">制限<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">げ</span><span class=""pitch-l"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 制限 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>制限する</td></tr><tr><td>Polite ます形</td><td>制限します</td></tr><tr><td>Polite Negative ません形</td><td>制限しません</td></tr><tr><td>Te-form て形</td><td>制限して</td></tr><tr><td>Polite Past ました形</td><td>制限しました</td></tr><tr><td>Progressive ている形</td><td>制限しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>制限できる</td></tr><tr><td>Passive 受身形</td><td>制限される</td></tr><tr><td>Conditional たら形</td><td>制限したら</td></tr><tr><td>Volitional 意向形</td><td>制限しよう</td></tr><tr><td>Should べき形</td><td>制限すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>制限なさる</td></tr><tr><td>Humble 謙譲語</td><td>制限いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
ステータスでフィルタリングしてください。,Filter by status.,フィルター,ステータスでフィルタリングしてください。,ステータスでフィルタリングしてください。,Backend - Query,polite,filter,"<ruby class=""vocab"">フィルター<rt><span class=""pitch-l"">ふぃ</span><span class=""pitch-h"">る</span><span class=""pitch-h"">た</span><span class=""pitch-h"">ー</span></rt></ruby>",
作成日でソートしてください。,Sort by created date.,ソート,作成【さくせい】日【び】でソートしてください。,作成【さくせい】日【び】でソートしてください。,Backend - Query,polite,sort,"<ruby class=""vocab"">ソート<rt><span class=""pitch-h"">そ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">と</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for ソート (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>ソートする</td></tr><tr><td>Polite ます形</td><td>ソートします</td></tr><tr><td>Polite Negative ません形</td><td>ソートしません</td></tr><tr><td>Te-form て形</td><td>ソートして</td></tr><tr><td>Polite Past ました形</td><td>ソートしました</td></tr><tr><td>Progressive ている形</td><td>ソートしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>ソートできる</td></tr><tr><td>Passive 受身形</td><td>ソートされる</td></tr><tr><td>Conditional たら形</td><td>ソートしたら</td></tr><tr><td>Volitional 意向形</td><td>ソートしよう</td></tr><tr><td>Should べき形</td><td>ソートすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>ソートなさる</td></tr><tr><td>Humble 謙譲語</td><td>ソートいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
全文検索を実装してください。,Implement full-text search.,全文検索,全文【ぜんぶん】検索【けんさく】を実装【じっそう】してください。,全文【ぜんぶん】検索【けんさく】を実装【じっそう】してください。,Backend - Search,polite,full-text search,"<ruby class=""vocab"">全文検索<rt>ぜんぶんけんさく</rt></ruby>",
検索インデックスを追加してください。,Add a search index.,検索インデックス,検索【けんさく】インデックスを追加【ついか】してください。,検索【けんさく】インデックスを追加【ついか】してください。,Backend - Search,polite,index,"<ruby class=""vocab"">検索インデックス<rt>けんさくインデックス</rt></ruby>",
メトリクスを集計してください。,Aggregate the metrics.,集計,メトリクスを集計【しゅうけい】してください。,メトリクスを集計【しゅうけい】してください。,Backend - Aggregation,polite,aggregate,"<ruby class=""vocab"">集計<rt><span class=""pitch-l"">しゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">け</span><span class=""pitch-h"">い</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 集計 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>集計する</td></tr><tr><td>Polite ます形</td><td>集計します</td></tr><tr><td>Polite Negative ません形</td><td>集計しません</td></tr><tr><td>Te-form て形</td><td>集計して</td></tr><tr><td>Polite Past ました形</td><td>集計しました</td></tr><tr><td>Progressive ている形</td><td>集計しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>集計できる</td></tr><tr><td>Passive 受身形</td><td>集計される</td></tr><tr><td>Conditional たら形</td><td>集計したら</td></tr><tr><td>Volitional 意向形</td><td>集計しよう</td></tr><tr><td>Should べき形</td><td>集計すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>集計なさる</td></tr><tr><td>Humble 謙譲語</td><td>集計いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
レコードの合計数をカウントしてください。,Count total records.,カウント,レコードの合計【ごうけい】数【すう】をカウントしてください。,レコードの合計【ごうけい】数【すう】をカウントしてください。,Backend - Aggregation,polite,count,"<ruby class=""vocab"">カウント<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for カウント (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>カウントする</td></tr><tr><td>Polite ます形</td><td>カウントします</td></tr><tr><td>Polite Negative ません形</td><td>カウントしません</td></tr><tr><td>Te-form て形</td><td>カウントして</td></tr><tr><td>Polite Past ました形</td><td>カウントしました</td></tr><tr><td>Progressive ている形</td><td>カウントしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>カウントできる</td></tr><tr><td>Passive 受身形</td><td>カウントされる</td></tr><tr><td>Conditional たら形</td><td>カウントしたら</td></tr><tr><td>Volitional 意向形</td><td>カウントしよう</td></tr><tr><td>Should べき形</td><td>カウントすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>カウントなさる</td></tr><tr><td>Humble 謙譲語</td><td>カウントいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
